31;"header";"coord:time:reference";"data:EAC";;;"data:quality"
31;"header";"(UTC)";"(V m**-1)";;;""
31;"header";"time_reference";"EAC_x";"EAC_y";"EAC_z";"quality"
31;"values";2024-05-23T02:58:59.466;-1.5430000e+01;-2.7760000e+00;-9.9030000e-01;1.0000000e+00
31;"values";2024-05-23T02:58:59.466;-1.5340000e+01;-2.6420000e+00;-9.6160001e-01;1.0000000e+00
31;"values";2024-05-23T02:58:59.466;-1.5270000e+01;-2.9200001e+00;-9.9030000e-01;1.0000000e+00
31;"values";2024-05-23T02:58:59.474;-1.5460000e+01;-2.8169999e+00;-9.7119999e-01;1.0000000e+00
31;"values";2024-05-23T02:58:59.474;-1.5460000e+01;-2.6730001e+00;-1.1240000e+00;1.0000000e+00
31;"values";2024-05-23T02:58:59.482;-1.5440000e+01;-2.7140000e+00;-1.0480000e+00;0.0000000e+00
31;"values";2024-05-23T02:58:59.490;-1.5460000e+01;-2.6730001e+00;-1.1240000e+00;1.0000000e+00
31;"values";2024-05-23T02:58:59.490;-1.5410000e+01;-2.7140000e+00;-9.4250000e-01;1.0000000e+00
31;"values";2024-05-23T02:58:59.490;-1.5440000e+01;-2.7140000e+00;-1.0480000e+00;1.0000000e+00
31;"values";2024-05-23T02:58:59.490;-1.5320000e+01;-2.4779999e+00;-1.0670000e+00;1.0000000e+00
